OA,ParishID,Name,Location,Deanery
E00172934,B006,St James and All Souls,Salford,B
E00028688,B006,St James and All Souls,Salford,B
E00028755,B006,St James and All Souls,Salford,B
E00028630,B006,St James and All Souls,Salford,B
E00028754,B006,St James and All Souls,Salford,B
E00028759,B006,St James and All Souls,Salford,B
E00028758,B006,St James and All Souls,Salford,B
E00181648,B006,St James and All Souls,Salford,B
E00028638,B006,St James and All Souls,Salford,B
E00172976,B006,St James and All Souls,Salford,B
E00181576,B006,St James and All Souls,Salford,B
E00172996,B006,St James and All Souls,Salford,B
E00028620,B006,St James and All Souls,Salford,B
E00028763,B006,St James and All Souls,Salford,B
E00028752,B006,St James and All Souls,Salford,B
E00028466,B006,St James and All Souls,Salford,B
E00028974,B006,St James and All Souls,Salford,B
E00028766,B006,St James and All Souls,Salford,B
E00028969,B006,St James and All Souls,Salford,B
E00028639,B006,St James and All Souls,Salford,B
E00028613,B006,St James and All Souls,Salford,B
E00028628,B006,St James and All Souls,Salford,B
E00028624,B006,St James and All Souls,Salford,B
E00028629,B006,St James and All Souls,Salford,B
E00181575,B006,St James and All Souls,Salford,B
E00028616,B006,St James and All Souls,Salford,B
E00028457,B006,St James and All Souls,Salford,B
E00028769,B006,St James and All Souls,Salford,B
E00028962,B006,St James and All Souls,Salford,B
E00028761,B006,St James and All Souls,Salford,B
E00181598,B006,St James and All Souls,Salford,B
E00028978,B006,St James and All Souls,Salford,B
E00028617,B006,St James and All Souls,Salford,B
E00028965,B006,St James and All Souls,Salford,B
E00172974,B006,St James and All Souls,Salford,B
E00181577,B006,St James and All Souls,Salford,B
E00028967,B006,St James and All Souls,Salford,B
E00028756,B006,St James and All Souls,Salford,B
E00028621,B006,St James and All Souls,Salford,B
E00028762,B006,St James and All Souls,Salford,B
E00028765,B006,St James and All Souls,Salford,B
E00181680,B006,St James and All Souls,Salford,B
E00028975,B006,St James and All Souls,Salford,B
E00028634,B006,St James and All Souls,Salford,B
E00028623,B006,St James and All Souls,Salford,B
E00028984,B006,St James and All Souls,Salford,B
E00172977,B006,St James and All Souls,Salford,B
E00028992,B006,St James and All Souls,Salford,B
E00028976,B006,St James and All Souls,Salford,B
E00172980,B006,St James and All Souls,Salford,B
E00028960,B006,St James and All Souls,Salford,B
E00028625,B006,St James and All Souls,Salford,B
E00028981,B006,St James and All Souls,Salford,B
E00028961,B006,St James and All Souls,Salford,B
E00028633,B006,St James and All Souls,Salford,B
E00028970,B006,St James and All Souls,Salford,B
E00028982,B006,St James and All Souls,Salford,B
E00172998,B006,St James and All Souls,Salford,B
E00028631,B006,St James and All Souls,Salford,B
E00028764,B006,St James and All Souls,Salford,B
E00028985,B006,St James and All Souls,Salford,B
E00028760,B006,St James and All Souls,Salford,B
E00028988,B006,St James and All Souls,Salford,B
E00028993,B006,St James and All Souls,Salford,B
E00028612,B006,St James and All Souls,Salford,B
E00028983,B006,St James and All Souls,Salford,B
E00028622,B006,St James and All Souls,Salford,B
E00028379,B006,St James and All Souls,Salford,B
E00028973,B006,St James and All Souls,Salford,B
E00172971,B006,St James and All Souls,Salford,B
E00028986,B006,St James and All Souls,Salford,B
E00028626,B006,St James and All Souls,Salford,B
E00172973,B006,St James and All Souls,Salford,B
E00028632,B006,St James and All Souls,Salford,B
E00172979,B006,St James and All Souls,Salford,B
E00028987,B006,St James and All Souls,Salford,B
E00028757,B006,St James and All Souls,Salford,B
E00181632,B006,St James and All Souls,Salford,B
